Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Libya,LBY,39.6695789,..,..,..,..,43.8599594,..,..,..,..,48.07737731,40.00846258,37.51566204,43.22205102,39.66495649,39.74162327,40.85182106,37.83073851,38.94887339,38.59119845,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Lithuania,LTU,14.35994595,..,..,..,..,14.05574145,..,..,..,..,14.70448134,12.99478901,13.0260807,13.0277502,13.3329535,11.80372346,10.78161948,10.19686116,10.48238618,10.37350411,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Luxembourg,LUX,13.12933947,..,..,..,..,12.52862468,..,..,..,..,13.18124791,12.84812551,11.49788129,11.90044543,10.15031354,10.61470309,9.921704411,9.845420415,10.13585944,10.06890585,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Madagascar,MDG,17.23831043,..,..,..,..,17.76292144,..,..,..,..,19.00867131,20.09269248,19.17912129,19.70239888,19.25843878,20.16731825,19.34634864,18.00806439,18.27047187,17.8593854,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Malawi,MWI,25.08789463,..,..,..,..,24.53315863,..,..,..,..,25.76200797,27.1748805,27.1977447,26.47693677,26.83022559,27.06821686,26.05141291,23.9485906,23.47253554,22.34665143,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Malaysia,MYS,20.58290419,..,..,..,..,20.10216491,..,..,..,..,18.24105197,17.31553828,18.18110773,18.5277661,17.22079966,18.12386202,16.75819034,16.4374241,16.46084288,16.59099631,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Maldives,MDV,14.10382753,..,..,..,..,13.30959933,..,..,..,..,13.74643253,12.28813159,12.8234432,12.45355352,11.10396316,10.19679349,12.10828489,11.16442084,10.89985209,10.94405416,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Mali,MLI,60.98426266,..,..,..,..,59.6884795,..,..,..,..,62.42665398,58.97191431,63.43015874,52.78016724,56.00353617,65.82960573,60.61509832,61.60379119,60.53457655,60.62414043,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Malta,MLT,16.00051716,..,..,..,..,15.31761524,..,..,..,..,17.53479836,16.1746136,14.08691429,13.32212417,13.75861976,13.4950264,12.8402408,12.50133169,13.0359469,12.9910498,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Marshall Islands,MHL,9.983340643,..,..,..,..,10.02699513,..,..,..,..,9.71516679,9.446098507,9.279395317,9.377626462,9.02903083,9.019559314,9.075500701,9.153255835,9.066089264,9.044039796,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Mauritania,MRT,71.87885097,..,..,..,..,65.2745712,..,..,..,..,64.4872204,65.66767722,70.24164945,60.78226417,60.59257285,71.46707421,66.48828292,69.63359465,66.65394242,66.8117824,..
